rating,title,text,date
1,,"TOO MUCH HIDDEN SCAMS!! For mutual fund investment only few direct plans are available, which if you don't check you end up paying very high expense charges. DP charges are high and For investors - brokerage on equity delivery!!",2026-07-04
5,,Good Experience,2026-07-04
5,,"இந்த செயலி தினசரி வர்த்தகம் செய்வதற்கு மிகவும் உதவிகரமாக இருக்கிறது தெளிவான graph அமைப்பை செயலி வழங்கி வருகிறது அது Grow app பின் தனிப்பட்ட வடிவமைப்பு ,volume shocker ஒரு சிறந்த குறியீடு . ஒரு குறைபாடு தினசரி பங்கு நகர்வின் சராசரி விலை காணப் படவில்லை?",2026-07-04
4,,good,2026-07-04
3,,One year line chart has become very noisy from last two update. Please make the 1 year chart smoother like before.,2026-07-03
5,,good app,2026-07-03
4,,its good,2026-07-03
2,,high brokerage fees....more than half the profit we make...ridiculous and tell me if anybody makes profit everyday in scalping,2026-07-03
5,,good 👍,2026-07-03
5,,"really good actually, just wishing they add US stock soon",2026-07-03
5,,good 👍,2026-07-03
5,,good,2026-07-03
5,,use krne asan h ye abb ✌️,2026-07-03
5,,Excellent Service,2026-07-03
5,,good apps,2026-07-03
5,,super,2026-07-03
5,,great platform for trading,2026-07-03
5,,nice groww app,2026-07-03
5,,Great,2026-07-03
1,,"cleartax plan is not useful at all, its shows Rs1999 in cleartax and Rs1848 through Groww. :(",2026-07-03
5,,good,2026-07-03
4,,OK,2026-07-03
5,,good trading apps,2026-07-03
5,,good,2026-07-03
5,,very good 👍😊,2026-07-03
5,,good 👍,2026-07-03
5,,very good,2026-07-03
5,,❤️,2026-07-03
1,,This app is missing basic features like 1.stop loss and target for GTT order 2.trailing stoploss on 1tap trading screen 3.oi on 1tap trading screen,2026-07-03
5,,best for trade,2026-07-03
5,,this is very good 💯,2026-07-03
5,,vire nice,2026-07-03
5,,meto loss mehi hu muje aapki jarurata he sapot ke liye,2026-07-03
2,,tax charges very high😤,2026-07-03
5,,excellent,2026-07-03
4,,good,2026-07-03
5,,very nice 👍👍♥️💯🇮🇳,2026-07-03
5,,great smooth working,2026-07-03
3,,need bracket order,2026-07-03
4,,good,2026-07-03
5,,good app,2026-07-03
5,,"Please add Telugu language support to the Groww app. It will make investing much easier for Telugu users and help avoid confusion while using features like Buy, Sell, GTT, SIP, and other options. Thank you.""",2026-07-03
5,,nice,2026-07-03
5,,❣️,2026-07-03
5,,very good aapp,2026-07-03
5,,good app,2026-07-03
5,,good,2026-07-03
5,,good and quick service,2026-07-03
5,,nice 👍,2026-07-03
5,,nice app for investment,2026-07-03
1,,bad,2026-07-03
5,,good aplication,2026-07-03
5,,Good,2026-07-03
5,,nice,2026-07-03
5,,nice application good features easy to use and fast more option than other app,2026-07-03
5,,good,2026-07-03
5,,good experience,2026-07-03
5,,good app for market information and investment base information💐,2026-07-03
5,,excellent,2026-07-03
5,,Best for all,2026-07-03
5,,"nice application one thing need to update,open interest and change of open interest. all broker give this feature. Grow application clear and fast no doubt.",2026-07-03
1,,ye broker charge jayada h,2026-07-03
5,,"915 very useful tool , I also used continuously... Papkjit Sir also describes about this tool",2026-07-03
5,,good 👍,2026-07-03
5,,The app interface is good and the customer team response also and quick and helpful.,2026-07-03
5,,nice,2026-07-03
5,,bahut hi Achcha iska Har feature ekadam Aasan hai hey very nice app,2026-07-03
4,,nice,2026-07-03
5,,goated,2026-07-03
5,,it's very good for beginners.,2026-07-03
5,,nice,2026-07-03
5,,nice,2026-07-03
5,,easy to use,2026-07-03
5,,nice,2026-07-03
5,,good,2026-07-03
5,,Simply interface and best😀,2026-07-03
5,,"Hello Team, The old version of Financial Performance was good. Please change.",2026-07-03
5,,very good app,2026-07-03
2,,"last week I saw AI option available at top right corner of the app, however after latest update it's got disappear. can you bring it back?",2026-07-03
5,,good,2026-07-03
5,,good👍,2026-07-03
1,,"this app is not gud for FNO,",2026-07-03
1,,Poor service quality,2026-07-03
5,,good services,2026-07-03
5,,very good 💯,2026-07-03
1,,share bechne par Tpin aur Otp chahiye jo loss badha deta hai yah app ki jagah koi aur app use kare,2026-07-03
5,,ok,2026-07-03
5,,very easy interface,2026-07-03
5,,Thank you grow,2026-07-03
5,,very good 💯,2026-07-03
5,,nice working,2026-07-03
5,,good app,2026-07-03
5,,very useful app,2026-07-03
4,,I think easy to operate,2026-07-03
5,,super 👌,2026-07-03
1,,not good,2026-07-03
5,,best app,2026-07-03
2,,"very bad experience on many occasions. lags, and very slow in time. Frequent change in interface is making it difficult to place and review order. better move to other platforms.",2026-07-03
5,,very good 👍 very nice 👌 comfortable 👌,2026-07-03
5,,👍🔥,2026-07-03
5,,Easy And Clear chart Visible easy profit way wondering apps thankful groww ...,2026-07-03
5,,very nice app. Everybody should install this app and invest for the future.,2026-07-03
5,,excellent 👌,2026-07-03
5,,it's to good,2026-07-03
5,,nice,2026-07-03
5,,excellent app and easy to use,2026-07-03
5,,gud,2026-07-03
4,,very good,2026-07-03
5,,good app really useful lomg time inverse meant 👍,2026-07-03
5,,good,2026-07-03
5,,very nice,2026-07-03
5,,easy to use and good features.,2026-07-03
5,,very nice,2026-07-03
5,,good,2026-07-03
4,,"I would love to see Goww introduce an Affordable FnO feature that allows users to trade with lower capital requirements. This could include smaller lot sizes, micro contracts, or curated low-cost FnO opportunities",2026-07-03
5,,"The Groww app is an exceptional choice for Gen Z, millennials, and first-time retail investors looking to build passive wealth through mutual funds and long-term equity. While ultra-active intraday traders might hit a ceiling with its feature set, its unmatched ease of use, transparent pricing, and zero-AMC model make it a premier financial application in the market today.",2026-07-03
5,,good,2026-07-03
2,,one of the worst app in stock market the charts are worst ... the charges are like crazy i think zerodha is better app ... please improve the charts aor else half of the invester will leave the app,2026-07-03
5,,👍,2026-07-03
5,,nice,2026-07-03
5,,good,2026-07-03
5,,good,2026-07-03
5,,good application 👍,2026-07-03
4,,"good Experience every thing is very easy to access, using it for almost a year good response, it should have a update which is to have different tabs for stocks and mutual fund so it can be tracked accordingly.",2026-07-03
5,,great experience till now,2026-07-03
5,,gud app,2026-07-03
3,,"unable to login. the web interface is good, app stopped working, uninstalled and reinstalled but now can't login.",2026-07-03
5,,vare nice,2026-07-03
5,,trust Is Grow App,2026-07-03
5,,good,2026-07-03
5,,good,2026-07-03
5,,very fast execution of trade,2026-07-03
5,,good,2026-07-03
5,,good 👍,2026-07-03
5,,nice aap easy to learn,2026-07-03
5,,superb,2026-07-03
5,,grow use to very helpful & easy,2026-07-03
5,,🤑🤑🤑🤑,2026-07-03
1,,"This App is a Scam specially when you buy positions using MTF. They will square off your position even when wallet balance is positive, they will put your balance into Negative without any reason. They squared off my position for which i paid 100 % as hair cut keeps changing but after squaring off my position they put my wallet into Negative which was positive earlier then where did the money go after squaring off positions. Indmoney is a far better app than this they never do such things.",2026-07-03
1,,"The app experienced a severe technical glitch during live trading, and customer support’s resolution process is completely unacceptable. They are insisting that I provide a screen recording of the glitch to prove the issue. ""wrost customer care service ever""",2026-07-03
5,,good,2026-07-03
5,,good,2026-07-03
5,,easy to use,2026-07-03
5,,nice,2026-07-03
5,,good,2026-07-03
1,,no download,2026-07-03
4,,nice app only one thing is that causes a frustration that there is at least 1 update almost in a week,2026-07-03
5,,my Case in Groww is best Investment platform,2026-07-03
5,,very good app and thanks grow for help me when i need,2026-07-03
5,,best app student,2026-07-03
5,,nice,2026-07-03
5,,🚀,2026-07-03
5,,best app,2026-07-03
5,,best,2026-07-03
1,,Very bad update i am unable to see how much interest I have paid in mtf positions. Before the update I can see how much interest I have paid under positions section. very bad update 😡😡.,2026-07-03
1,,High brokerage & bad UI,2026-07-03
5,,good,2026-07-03
4,,good,2026-07-03
5,,Good,2026-07-03
4,,"Pls make it possible to change the timeline in Sector Trending Today Page. Only 1 day change can be seen, make it 3/6 months and one year also, so that one can make decisions more accurately and timely.",2026-07-03
5,,broker charge jayada h,2026-07-03
5,,"you are updating like GR-1, net worth, quick news about my investment etc. are very good features. keep it updated, well done 👍",2026-07-03
5,,good,2026-07-03
1,,poor,2026-07-03
5,,Best,2026-07-03
5,,best treding pletform,2026-07-03
5,,good,2026-07-03
5,,excellent service,2026-07-03
5,,nice,2026-07-03
5,,good,2026-07-03
5,,so good 😊,2026-07-03
5,,Good 👍👍,2026-07-03
4,,kindly make weekly sip possible,2026-07-03
4,,need more improvement,2026-07-03
5,,super,2026-07-03
3,,good work,2026-07-03
5,,good,2026-07-03
5,,good 👍,2026-07-03
5,,સારું,2026-07-03
5,,nice,2026-07-03
5,,good,2026-07-03
5,,"Best For Mobile 📱, indraday",2026-07-03
5,,good app,2026-07-03
5,,good,2026-07-03
5,,best,2026-07-03
5,,good,2026-07-03
5,,excellent experience,2026-07-03
5,,most very useful app,2026-07-03
5,,good,2026-07-03
5,,good,2026-07-03
5,,I am unable to to use 1 tap scalping mode in groww please 🥺🥺🥺 take some step......In the scalping button there is always stays Add money options I don't know why 😭😭😭.,2026-07-03
4,,good,2026-07-03
5,,good,2026-07-03
5,,best,2026-07-02
5,,"Awesome, as expected👍",2026-07-02
5,,really a good experience,2026-07-02
5,,👍,2026-07-02
5,,🫶🏻,2026-07-02
5,,excellent,2026-07-02
5,,One of the best platforms to invest money and trades in. User interface is seamless and the platform provides a certain support everytime a ticket is raised for a query. It can help you fall in love with the beauty of investing.,2026-07-02
5,,nice,2026-07-02
5,,good,2026-07-02
1,,itani ghatiya sarvice koi aur broker company nhi deti hogi jitna ye company deti hai maine 20 se jyda call Kiya sirf stock ko transfer karwane ke liye lekin abhi tak ye nhi pucha ki huwa ya nhi ya ye bhi nhi ki chalo mai madad kar deta hun ye bus rating badhane ke ye baat karte hai. baki tum bhand mei jao. 😡😡,2026-07-02
5,,I just wanted to know why you guys are not adding a kill switch in your application...?,2026-07-02
5,,Outstanding,2026-07-02
5,,good,2026-07-02
5,,excellent user friendly app,2026-07-02
5,,very good asip,2026-07-02
5,,Nice 👍🏻,2026-07-02
5,,very useful,2026-07-02
5,,very good,2026-07-02
